text,label
"محمد أحمد - مهندس برمجيات - خبرة 5 سنوات. Python, JavaScript, React. بكالوريوس علوم حاسوب جامعة القاهرة 2018.",human
أحمد علي - محلل بيانات - 3 سنوات. تحليل البيانات وإعداد التقارير. Google Data Analytics.,human
سارة محمد - مصممة جرافيك - 4 سنوات. شعارات، هويات بصرية، واجهات.,human
"خالد محمود - مطور Full Stack - 6 سنوات. Node.js, Python, PostgreSQL.",human
فاطمة حسن - مديرة مشاريع - PMP. إدارة فرق تطوير برمجيات.,human
"عبدالله سعيد - مهندس DevOps - 4 سنوات. Kubernetes, Docker, CI/CD.",human
نور الدين - محلل أمن معلومات - CEH. اختبار الاختراق.,human
"مريم علي - مطورة جوال - Flutter, React Native. 3 سنوات.",human
"يوسف أحمد - مهندس شبكات - CCNA, CCNP. 7 سنوات خبرة.",human
"هدى محمد - تسويق رقمي - Google Ads, Meta Ads. سنتان.",human
أحمد - مطور - Python Java - جامعة عين شمس 2019,human
سلمى - محاسبة - 2 سنوات - محاسب معتمد,human
طارق - فني IT - صيانة أجهزة - 5 سنوات,human
لينا - مترجمة - عربي إنجليزي - 3 سنوات,human
كريم - مدير مبيعات - تقنية - 4 سنوات,human
محمد أحمد يقدم نفسه كمهندس برمجيات متميز يتمتع بخبرة واسعة في مجال تطوير التطبيقات الحديثة. يتميز بقدرة استثنائية على حل المشكلات المعقدة وإيجاد حلول مبتكرة.,ai
أحمد علي محلل بيانات محترف يتمتع بمهارات تحليلية متقدمة وقدرة على تحويل البيانات المعقدة إلى رؤى قابلة للتنفيذ.,ai
سارة محمد مصممة جرافيك مبدعة تتميز بأسلوب فني فريد وقدرة على إنشاء تصاميم جذابة واحترافية تلبي احتياجات العملاء.,ai
خالد محمود مطور Full Stack متخصص يتمتع بخبرة عميقة في بناء تطبيقات ويب متكاملة وقابلة للتوسع.,ai
فاطمة حسن مديرة مشاريع محترفة معتمدة PMP تتميز بقدرات قيادية استثنائية وإدارة ناجحة للفرق والمشاريع التقنية.,ai
Software Engineer - 5 years exp - Python Java C++ - BSc Computer Science,human
